QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;150,4333019257;-240,3995990753;88,3445739746;-0,0941753387; 0,2050399780;-1,9037723541;
 0,0040000000;-133,4817409515;-107,4476242065;240,8962249756; 0,5614757538;-1,2814998627;-0,9119510651;
 0,0080000000;-233,3757877350;172,8694438934;60,9159469604;-0,5793571472;-1,3577938080; 0,3826618195;
 0,0120000000;-10,9369754791;213,6573791504;-202,9092311859;-1,9693374634; 0,0178813934; 0,2789497375;
 0,0160000000;226,0537147522;-41,9206619263;-186,3653659821;-1,7940998077; 0,8976459503;-1,0395050049;
 0,0200000000;150,5486965179;-240,4236793518;88,2515907288;-0,1716613770; 0,2443790436;-1,8501281738;
 0,0240000000;-133,4109306335;-107,5758934021;240,8409118652; 0,5328655243;-1,2528896332;-1,0716915131;
 0,0280000000;-233,4468364716;172,8408336639;60,8749389648;-0,7140636444;-1,3267993927; 0,2503395081;
 0,0320000000;-11,0538005829;213,6209011078;-202,9547691345;-2,0885467529; 0,0524520874; 0,1263618469;
 0,0360000000;226,0196208954;-41,9023036957;-186,4082813263;-1,9025802612; 0,8630752563;-1,1634826660;
 0,0400000000;150,6855487823;-240,4024600983;88,1102085114;-0,2050399780; 0,1394748688;-1,9335746765;
 0,0440000000;-133,2681179047;-107,6495647430;240,8614158630; 0,4816055298;-1,1622905731;-1,0788440704;
 0,0480000000;-233,4368228912;172,7507114410;61,0480308533;-0,6139278412;-1,1599063873; 0,2157688141;
 0,0520000000;-11,1587047577;213,7017250061;-202,8706073761;-2,2709369659; 0,1323223114; 0,1931190491;
 0,0560000000;226,0415554047;-41,8157577515;-186,5034103394;-1,9896030426; 0,8869171143;-1,2612342834;
 0,0600000000;150,7556438446;-240,3292655945;88,0892276764;-0,2062320709; 0,0131130219;-2,0027160645;
 0,0640000000;-133,3127021790;-107,6226234436;240,8542633057; 0,5495548248;-1,3303756714;-1,0299682617;
 0,0680000000;-233,5736751556;172,6751327515;61,1128807068;-0,7164478302;-1,2695789337; 0,2586841583;
 0,0720000000;-11,2712383270;213,7174606323;-202,8055191040;-2,4235248566; 0,2074241638;-0,0298023224;
 0,0760000000;225,9747982025;-41,6936874390;-186,5484714508;-1,9574165344; 1,0561943054;-1,3196468353;
 0,0800000000;150,8452892303;-240,3595447540;87,9817008972;-0,0977516174; 0,1609325409;-1,9907951355;
 0,0840000000;-133,2001686096;-107,8433990479;240,9074306488; 0,6198883057;-1,2814998627;-1,2230873108;
 0,0880000000;-233,6068153381;172,5678443909;61,2585544586;-0,7843971252;-1,3589859009; 0,2264976501;
 0,0920000000;-11,2619400024;213,7525081635;-202,7547359467;-2,2435188293; 0,1633167267; 0,4839897156;
